DATE,priceindex,percapitagdp,personalincome,unemprate,fedfundsinterestrate,fixmortgagerate15years,personalsavingrate,laborforceparticipationrate,workingpopulation,medianhouseincome,energyindex,constructionspending,totalnewhouseunits,housingsubsidies,totalhouseholds
2003-01-01,128.461,50462.0,10710.4,5.8,1.24,5.304,5.3,66.4,185635346.37315,65860.0,79.4541658527736,863855.0,1654.0,25.93,111278.0
2003-02-01,129.355,50573.333333333336,10674.0,5.9,1.26,5.22,5.2,66.4,185869692.256356,65860.0,90.8892642513114,859225.0,1688.0,25.93,111278.0
2003-03-01,130.148,50684.666666666664,10696.5,5.9,1.25,5.065,4.9,66.3,186085118.209936,65860.0,80.5921948003378,851132.0,1638.0,25.93,111278.0
2003-04-01,130.884,50796.0,10752.7,6.0,1.26,5.1175,5.0,66.4,186470753.987361,65860.0,70.8471973021957,859459.0,1662.0,25.93,111278.0
2003-05-01,131.735,51034.666666666664,10832.0,6.1,1.26,4.86,5.3,66.4,186649077.97267705,65860.0,72.8786760553799,866814.0,1733.0,25.93,111278.0
2003-06-01,132.649,51273.333333333336,10860.6,6.3,1.22,4.6275,5.1,66.5,186800679.576504,65860.0,76.2041201992688,880865.0,1641.0,25.93,111278.0
2003-07-01,133.77700000000002,51512.0,10991.1,6.2,1.01,4.9675,5.9,66.2,187066500.33798295,65860.0,75.2613839004993,891264.0,1680.0,25.93,111278.0
2003-08-01,134.969,51670.0,11066.7,6.1,1.03,5.588,5.7,66.1,187304009.475925,65860.0,77.1777817819796,901839.0,1570.0,25.93,111278.0
2003-09-01,136.29399999999998,51828.0,10940.8,6.1,1.01,5.4575,4.9,66.1,187538981.253475,65860.0,71.9842380150344,911589.0,1719.0,25.93,111278.0
2003-10-01,137.531,51986.0,10982.3,6.0,1.01,5.274,5.0,66.1,187738514.819484,65860.0,75.7176747748298,925732.0,1728.0,25.93,111278.0
2003-11-01,138.79399999999998,52050.333333333336,11048.4,5.8,1.0,5.2725,5.0,66.1,187972351.58827305,65860.0,75.9402499088571,925985.0,1692.0,25.93,111278.0
2003-12-01,140.179,52114.666666666664,11057.2,5.7,0.98,5.204,5.0,65.9,188136094.87789,65860.0,82.2737346812493,948491.0,1716.0,25.93,111278.0
2004-01-01,141.64600000000002,52179.0,11051.2,5.7,1.0,5.015,4.6,66.1,187688839.482615,65760.0,85.6153840214917,938525.0,1709.0,27.201,112000.0
